NYSE American Stock Exchange,,,,,,,,,,,,,,
"Friday, May 18, 2018 5:32 PM",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg
IMPAC Mortgage Holdings,IMH,8.76,8.79,8.63,8.73,0.07,0.81,"16,215",16.83,7.18,0,0,0,-14.07
Imperial Oil,IMO,32.61,32.79,32.47,32.7,-0.05,-0.15,"174,567",33.11,25.91,0.52,1.59,50.42,4.84
InfuSystems Holdings,INFU,2.95,2.95,2.85,2.85,-0.05,-1.72,"32,298",2.95,1.2,0,0,0,23.91
InnSuites Hospitality Trust,IHT,2.48,2.76,2.2,2.35,0.08,3.52,"335,793",3.7,1.23,0.02,0.85,0,34.29
InspireMD,NSPR,1.22,1.25,1.17,1.19,-0.04,-3.25,"238,195",25.55,0.99,0,0,0,-73.52
Intellicheck,IDN,2.06,2.19,2.05,2.19,0.15,7.35,"60,508",4.55,1.5,0,0,0,-14.45
Intelligent Systems,INS,7.06,7.07,6.76,6.9,-0.25,-3.51,"3,432",8.24,3.3,0,0,32.85,51.29
inTEST,INTT,6.8,6.9,6.75,6.85,0.05,0.74,"41,100",10.25,5.75,0,0,0,-20.81
Issuer Direct,ISDR,17.1,17.16,17,17,-0.1,-0.58,694,18.95,11.65,0.2,1.18,28.33,-7.36
Klondex Mines,KLDX,2.5,2.52,2.45,2.47,-0.01,-0.4,"1,466,146",3.89,1.29,0,0,0,-5.36
Ladenburg Thalmann Financial Services,LTS,3.8,3.8,3.73,3.78,0,0,"213,695",3.84,2.11,0.04,1.06,0,19.62
Level Brands,LEVB,4.69,4.75,4.66,4.68,-0.08,-1.68,"23,541",5.88,3.5,0,0,0,7.59
LGL Group,LGL,5.38,5.56,5.38,5.54,0.16,2.97,"2,558",6.7,4.25,0,0,110.8,-1.38
Libbey,LBY,6.96,7.18,6.92,7.11,0.17,2.45,"155,434",10.3,4.6,0.47,6.61,0,-5.45
Lilis Energy,LLEX,4.35,4.5,4.24,4.43,0.14,3.26,"158,240",5.65,2.96,0,0,0,-13.31
MAG Silver,MAG,11.3,11.58,11.3,11.52,0.09,0.79,"125,318",13.84,9.29,0,0,0,-6.8
Majesco,MJCO,5.43,5.54,5.42,5.52,0.13,2.41,"8,977",6.43,4.35,0,0,0,2.79
Mastech Digital,MHH,16.75,17.31,16.58,16.98,0.4,2.41,"68,890",17.31,6.13,0,0,32.04,68.79
McClatchy Cl A,MNI,10.2,10.32,10.14,10.16,0,0,"2,471",11.51,5.75,0,0,0,13.77
